                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.1742,                 1.2106,                 1.8187,                0.94122,                0.67183,                0.74009,                0.59254,                  1.385,                  1.443,                 1.3664,              0.0002872,              0.0002872,              0.0002872
                     74,                 1.1993,                 1.2377,                 1.8228,                0.90249,                0.62074,                0.68356,                0.55688,                 1.3554,                 1.4682,                 1.3526,              0.0002773,              0.0002773,              0.0002773
                     75,                 1.2151,                 1.2518,                 1.8098,                 0.8531,                0.60669,                0.69345,                0.57333,                 1.3034,                 1.4613,                 1.3158,              0.0002674,              0.0002674,              0.0002674
                     76,                 1.1438,                 1.2127,                 1.8128,                0.85487,                0.60666,                0.68451,                0.56657,                 1.3116,                 1.5185,                 1.3816,              0.0002575,              0.0002575,              0.0002575
                     77,                 1.1692,                 1.2337,                 1.8126,                0.88191,                0.66733,                0.73749,                0.58298,                 1.3715,                 1.3403,                 1.3302,              0.0002476,              0.0002476,              0.0002476
                     78,                  1.162,                 1.1781,                  1.817,                0.91799,                0.60073,                0.71102,                0.57756,                 1.3906,                 1.4372,                 1.3754,              0.0002377,              0.0002377,              0.0002377
                     79,                 1.1772,                 1.2169,                 1.7932,                0.89499,                0.60147,                0.70968,                0.57284,                 1.3483,                 1.3767,                 1.3444,              0.0002278,              0.0002278,              0.0002278
                     80,                 1.1776,                 1.1975,                  1.811,                0.88199,                0.64386,                0.71096,                0.59656,                 1.1887,                  1.393,                 1.3125,              0.0002179,              0.0002179,              0.0002179
                     81,                 1.1212,                 1.1532,                 1.7991,                0.86423,                0.65133,                 0.7016,                0.58416,                 1.2302,                 1.3976,                 1.3323,               0.000208,               0.000208,               0.000208
                     82,                  1.098,                 1.1484,                   1.79,                0.90792,                0.61235,                 0.7243,                0.60363,                 1.2445,                 1.3481,                 1.3268,              0.0001981,              0.0001981,              0.0001981
                     83,                 1.1555,                 1.1712,                 1.8179,                0.91531,                0.59674,                0.71194,                0.58305,                 1.3306,                 1.3483,                 1.3518,              0.0001882,              0.0001882,              0.0001882
                     84,                 1.1093,                 1.1521,                 1.7892,                0.92948,                0.65094,                0.74008,                 0.6005,                 1.3234,                 1.3426,                 1.3632,              0.0001783,              0.0001783,              0.0001783
